n_obs_original,n_obs_efectivo,grupo_original,grupo_efectivo,cambia_de_grupo
280,280,250-499,250-499,False
361,361,250-499,250-499,False
1792,1792,>=1000,>=1000,False
191,191,100-249,100-249,False
488,488,250-499,250-499,False
209,209,100-249,100-249,False
624,624,500-999,500-999,False
1047,1047,>=1000,>=1000,False
255,255,250-499,250-499,False
249,249,100-249,100-249,False
200,200,100-249,100-249,False
434,434,250-499,250-499,False
96,96,<100,<100,False
651,651,500-999,500-999,False
468,468,250-499,250-499,False
1340,1340,>=1000,>=1000,False
374,374,250-499,250-499,False
993,993,500-999,500-999,False
557,557,500-999,500-999,False
438,438,250-499,250-499,False
200,200,100-249,100-249,False
664,664,500-999,500-999,False
224,224,100-249,100-249,False
510,510,500-999,500-999,False
210,210,100-249,100-249,False
380,380,250-499,250-499,False
89,89,<100,<100,False
78,78,<100,<100,False
420,420,250-499,250-499,False
352,352,250-499,250-499,False
73,73,<100,<100,False
363,363,250-499,250-499,False
59,59,<100,<100,False
46,46,<100,<100,False
699,699,500-999,500-999,False
1103,1103,>=1000,>=1000,False
655,655,500-999,500-999,False
573,573,500-999,500-999,False
1296,1296,>=1000,>=1000,False
136,136,100-249,100-249,False
218,218,100-249,100-249,False
214,214,100-249,100-249,False
277,277,250-499,250-499,False
351,351,250-499,250-499,False
263,263,250-499,250-499,False
239,239,100-249,100-249,False
1115,1115,>=1000,>=1000,False
80,80,<100,<100,False
362,362,250-499,250-499,False
47,47,<100,<100,False
1111,1111,>=1000,>=1000,False
933,933,500-999,500-999,False
502,502,500-999,500-999,False
2070,2070,>=1000,>=1000,False
212,212,100-249,100-249,False
156,156,100-249,100-249,False
452,452,250-499,250-499,False
897,897,500-999,500-999,False
390,390,250-499,250-499,False
333,333,250-499,250-499,False
1024,1024,>=1000,>=1000,False
719,719,500-999,500-999,False
1648,1648,>=1000,>=1000,False
575,575,500-999,500-999,False
279,279,250-499,250-499,False
279,279,250-499,250-499,False
360,360,250-499,250-499,False
463,463,250-499,250-499,False
255,255,250-499,250-499,False
280,280,250-499,250-499,False
652,651,500-999,500-999,False
553,553,500-999,500-999,False
1240,1240,>=1000,>=1000,False
1215,1215,>=1000,>=1000,False
136,136,100-249,100-249,False
244,244,100-249,100-249,False
998,998,500-999,500-999,False
465,465,250-499,250-499,False
335,335,250-499,250-499,False
700,700,500-999,500-999,False
638,638,500-999,500-999,False
408,408,250-499,250-499,False
38,38,<100,<100,False
164,164,100-249,100-249,False
292,292,250-499,250-499,False
53,53,<100,<100,False
155,155,100-249,100-249,False
317,317,250-499,250-499,False
177,177,100-249,100-249,False
835,835,500-999,500-999,False
1217,1217,>=1000,>=1000,False
126,126,100-249,100-249,False
294,294,250-499,250-499,False
1754,1753,>=1000,>=1000,False
488,488,250-499,250-499,False
373,373,250-499,250-499,False
639,639,500-999,500-999,False
686,686,500-999,500-999,False
332,332,250-499,250-499,False
107,107,100-249,100-249,False
158,158,100-249,100-249,False
863,863,500-999,500-999,False
223,223,100-249,100-249,False
379,379,250-499,250-499,False
285,285,250-499,250-499,False
1004,1004,>=1000,>=1000,False
367,367,250-499,250-499,False
87,87,<100,<100,False
96,96,<100,<100,False
1820,1820,>=1000,>=1000,False
458,458,250-499,250-499,False
257,257,250-499,250-499,False
142,142,100-249,100-249,False
571,571,500-999,500-999,False
640,640,500-999,500-999,False
57,57,<100,<100,False
659,659,500-999,500-999,False
381,381,250-499,250-499,False
239,239,100-249,100-249,False
671,671,500-999,500-999,False
478,478,250-499,250-499,False
405,405,250-499,250-499,False
86,86,<100,<100,False
989,989,500-999,500-999,False
250,250,250-499,250-499,False
353,353,250-499,250-499,False
350,350,250-499,250-499,False
170,170,100-249,100-249,False
304,304,250-499,250-499,False
41,41,<100,<100,False
473,473,250-499,250-499,False
349,349,250-499,250-499,False
238,238,100-249,100-249,False
326,326,250-499,250-499,False
422,422,250-499,250-499,False
278,278,250-499,250-499,False
457,457,250-499,250-499,False
870,870,500-999,500-999,False
472,472,250-499,250-499,False
267,267,250-499,250-499,False
261,261,250-499,250-499,False
654,654,500-999,500-999,False
1108,1108,>=1000,>=1000,False
204,204,100-249,100-249,False
1032,1032,>=1000,>=1000,False
205,205,100-249,100-249,False
1774,1774,>=1000,>=1000,False
619,619,500-999,500-999,False
225,225,100-249,100-249,False
255,255,250-499,250-499,False
485,485,250-499,250-499,False
463,463,250-499,250-499,False
487,487,250-499,250-499,False
302,302,250-499,250-499,False
211,211,100-249,100-249,False
306,306,250-499,250-499,False
1121,1121,>=1000,>=1000,False
268,268,250-499,250-499,False
398,398,250-499,250-499,False
103,103,100-249,100-249,False
268,268,250-499,250-499,False
580,580,500-999,500-999,False
149,149,100-249,100-249,False
404,404,250-499,250-499,False
927,927,500-999,500-999,False
1496,1495,>=1000,>=1000,False
971,971,500-999,500-999,False
774,774,500-999,500-999,False
801,801,500-999,500-999,False
216,216,100-249,100-249,False
316,316,250-499,250-499,False
169,169,100-249,100-249,False
424,424,250-499,250-499,False
629,629,500-999,500-999,False
288,288,250-499,250-499,False
258,258,250-499,250-499,False
302,302,250-499,250-499,False
273,273,250-499,250-499,False
553,553,500-999,500-999,False
45,45,<100,<100,False
233,233,100-249,100-249,False
115,115,100-249,100-249,False
144,144,100-249,100-249,False
439,439,250-499,250-499,False
329,329,250-499,250-499,False
40,40,<100,<100,False
311,311,250-499,250-499,False
687,687,500-999,500-999,False
425,425,250-499,250-499,False
1007,1007,>=1000,>=1000,False
46,46,<100,<100,False
249,249,100-249,100-249,False
562,562,500-999,500-999,False
270,270,250-499,250-499,False
410,410,250-499,250-499,False
407,407,250-499,250-499,False
70,70,<100,<100,False
473,473,250-499,250-499,False
32,32,<100,<100,False
1055,1055,>=1000,>=1000,False
246,246,100-249,100-249,False
205,205,100-249,100-249,False
149,149,100-249,100-249,False
85,85,<100,<100,False
299,299,250-499,250-499,False
1013,1013,>=1000,>=1000,False
361,361,250-499,250-499,False
166,166,100-249,100-249,False
1035,1035,>=1000,>=1000,False
591,591,500-999,500-999,False
429,429,250-499,250-499,False
1104,1104,>=1000,>=1000,False
362,362,250-499,250-499,False
879,879,500-999,500-999,False
288,288,250-499,250-499,False
390,390,250-499,250-499,False
137,137,100-249,100-249,False
282,282,250-499,250-499,False
1603,1603,>=1000,>=1000,False
1212,1212,>=1000,>=1000,False
209,209,100-249,100-249,False
506,506,500-999,500-999,False
1116,1116,>=1000,>=1000,False
649,649,500-999,500-999,False
328,328,250-499,250-499,False
417,417,250-499,250-499,False
348,348,250-499,250-499,False
1033,1033,>=1000,>=1000,False
389,389,250-499,250-499,False
404,404,250-499,250-499,False
441,441,250-499,250-499,False
376,375,250-499,250-499,False
569,569,500-999,500-999,False
719,719,500-999,500-999,False
710,710,500-999,500-999,False
620,620,500-999,500-999,False
680,680,500-999,500-999,False
45,45,<100,<100,False
201,201,100-249,100-249,False
217,217,100-249,100-249,False
224,223,100-249,100-249,False
1158,1158,>=1000,>=1000,False
274,274,250-499,250-499,False
43,43,<100,<100,False
456,456,250-499,250-499,False
73,73,<100,<100,False
586,586,500-999,500-999,False
880,880,500-999,500-999,False
612,612,500-999,500-999,False
906,905,500-999,500-999,False
477,477,250-499,250-499,False
83,83,<100,<100,False
620,620,500-999,500-999,False
261,261,250-499,250-499,False
179,179,100-249,100-249,False
354,354,250-499,250-499,False
576,576,500-999,500-999,False
314,314,250-499,250-499,False
276,276,250-499,250-499,False
346,346,250-499,250-499,False
655,655,500-999,500-999,False
657,657,500-999,500-999,False
828,828,500-999,500-999,False
331,331,250-499,250-499,False
610,610,500-999,500-999,False
404,404,250-499,250-499,False
1474,1474,>=1000,>=1000,False
281,281,250-499,250-499,False
281,281,250-499,250-499,False
534,534,500-999,500-999,False
341,341,250-499,250-499,False
386,386,250-499,250-499,False
45,45,<100,<100,False
518,518,500-999,500-999,False
307,307,250-499,250-499,False
532,532,500-999,500-999,False
834,834,500-999,500-999,False
1164,1164,>=1000,>=1000,False
53,53,<100,<100,False
566,566,500-999,500-999,False
549,549,500-999,500-999,False
145,145,100-249,100-249,False
535,535,500-999,500-999,False
227,227,100-249,100-249,False
1459,1459,>=1000,>=1000,False
223,223,100-249,100-249,False
378,378,250-499,250-499,False
251,251,250-499,250-499,False
679,679,500-999,500-999,False
449,449,250-499,250-499,False
138,138,100-249,100-249,False
81,81,<100,<100,False
107,107,100-249,100-249,False
1104,1104,>=1000,>=1000,False
1322,1321,>=1000,>=1000,False
579,579,500-999,500-999,False
243,243,100-249,100-249,False
404,404,250-499,250-499,False
39,39,<100,<100,False
71,71,<100,<100,False
249,249,100-249,100-249,False
300,300,250-499,250-499,False
252,252,250-499,250-499,False
284,284,250-499,250-499,False
570,570,500-999,500-999,False
719,719,500-999,500-999,False
230,230,100-249,100-249,False
651,651,500-999,500-999,False
54,54,<100,<100,False
274,274,250-499,250-499,False
663,663,500-999,500-999,False
479,479,250-499,250-499,False
421,421,250-499,250-499,False
93,93,<100,<100,False
91,91,<100,<100,False
321,321,250-499,250-499,False
269,269,250-499,250-499,False
227,227,100-249,100-249,False
486,486,250-499,250-499,False
826,826,500-999,500-999,False
666,666,500-999,500-999,False
482,482,250-499,250-499,False
772,771,500-999,500-999,False
933,933,500-999,500-999,False
77,77,<100,<100,False
210,210,100-249,100-249,False
453,453,250-499,250-499,False
579,579,500-999,500-999,False
1042,1042,>=1000,>=1000,False
267,267,250-499,250-499,False
156,156,100-249,100-249,False
45,45,<100,<100,False
45,45,<100,<100,False
302,302,250-499,250-499,False
74,74,<100,<100,False
368,368,250-499,250-499,False
49,49,<100,<100,False
518,518,500-999,500-999,False
496,496,250-499,250-499,False
60,60,<100,<100,False
176,176,100-249,100-249,False
905,905,500-999,500-999,False
1243,1243,>=1000,>=1000,False
1078,1078,>=1000,>=1000,False
556,556,500-999,500-999,False
682,682,500-999,500-999,False
459,459,250-499,250-499,False
372,372,250-499,250-499,False
455,455,250-499,250-499,False
461,461,250-499,250-499,False
350,350,250-499,250-499,False
47,47,<100,<100,False
2043,2043,>=1000,>=1000,False
282,282,250-499,250-499,False
573,573,500-999,500-999,False
1852,1852,>=1000,>=1000,False
903,903,500-999,500-999,False
403,403,250-499,250-499,False
999,999,500-999,500-999,False
1043,1043,>=1000,>=1000,False
959,959,500-999,500-999,False
180,180,100-249,100-249,False
70,70,<100,<100,False
378,378,250-499,250-499,False
1042,1042,>=1000,>=1000,False
48,48,<100,<100,False
438,438,250-499,250-499,False
76,76,<100,<100,False
39,39,<100,<100,False
312,312,250-499,250-499,False
217,217,100-249,100-249,False
502,502,500-999,500-999,False
271,271,250-499,250-499,False
878,878,500-999,500-999,False
682,682,500-999,500-999,False
250,250,250-499,250-499,False
128,128,100-249,100-249,False
1127,1127,>=1000,>=1000,False
1859,1859,>=1000,>=1000,False
89,89,<100,<100,False
396,396,250-499,250-499,False
1113,1113,>=1000,>=1000,False
692,692,500-999,500-999,False
409,409,250-499,250-499,False
426,426,250-499,250-499,False
680,680,500-999,500-999,False
61,61,<100,<100,False
404,404,250-499,250-499,False
433,433,250-499,250-499,False
986,986,500-999,500-999,False
1122,1122,>=1000,>=1000,False
52,52,<100,<100,False
67,67,<100,<100,False
765,765,500-999,500-999,False
236,236,100-249,100-249,False
534,534,500-999,500-999,False
597,597,500-999,500-999,False
70,70,<100,<100,False
314,314,250-499,250-499,False
141,141,100-249,100-249,False
294,294,250-499,250-499,False
145,145,100-249,100-249,False
571,571,500-999,500-999,False
505,505,500-999,500-999,False
278,278,250-499,250-499,False
479,479,250-499,250-499,False
990,990,500-999,500-999,False
312,312,250-499,250-499,False
586,586,500-999,500-999,False
378,378,250-499,250-499,False
523,523,500-999,500-999,False
67,67,<100,<100,False
1214,1214,>=1000,>=1000,False
1272,1272,>=1000,>=1000,False
324,324,250-499,250-499,False
155,155,100-249,100-249,False
1416,1416,>=1000,>=1000,False
1046,1046,>=1000,>=1000,False
612,612,500-999,500-999,False
716,716,500-999,500-999,False
121,121,100-249,100-249,False
214,214,100-249,100-249,False
408,408,250-499,250-499,False
152,152,100-249,100-249,False
332,332,250-499,250-499,False
569,569,500-999,500-999,False
540,540,500-999,500-999,False
477,475,250-499,250-499,False
448,448,250-499,250-499,False
446,446,250-499,250-499,False
137,137,100-249,100-249,False
460,460,250-499,250-499,False
319,319,250-499,250-499,False
456,456,250-499,250-499,False
238,238,100-249,100-249,False
398,398,250-499,250-499,False
344,344,250-499,250-499,False
342,342,250-499,250-499,False
848,848,500-999,500-999,False
504,504,500-999,500-999,False
395,395,250-499,250-499,False
639,639,500-999,500-999,False
237,237,100-249,100-249,False
364,364,250-499,250-499,False
1053,1053,>=1000,>=1000,False
887,887,500-999,500-999,False
1245,1245,>=1000,>=1000,False
290,290,250-499,250-499,False
363,363,250-499,250-499,False
609,609,500-999,500-999,False
454,454,250-499,250-499,False
764,764,500-999,500-999,False
38,38,<100,<100,False
541,541,500-999,500-999,False
24,24,<100,<100,False
637,637,500-999,500-999,False
1206,1206,>=1000,>=1000,False
416,416,250-499,250-499,False
57,57,<100,<100,False
650,650,500-999,500-999,False
201,201,100-249,100-249,False
544,544,500-999,500-999,False
907,907,500-999,500-999,False
406,406,250-499,250-499,False
159,159,100-249,100-249,False
633,633,500-999,500-999,False
726,726,500-999,500-999,False
380,380,250-499,250-499,False
460,460,250-499,250-499,False
791,791,500-999,500-999,False
567,567,500-999,500-999,False
267,267,250-499,250-499,False
737,737,500-999,500-999,False
390,390,250-499,250-499,False
877,877,500-999,500-999,False
1971,1971,>=1000,>=1000,False
446,446,250-499,250-499,False
842,842,500-999,500-999,False
207,207,100-249,100-249,False
279,279,250-499,250-499,False
362,362,250-499,250-499,False
959,959,500-999,500-999,False
325,325,250-499,250-499,False
573,573,500-999,500-999,False
889,889,500-999,500-999,False
284,284,250-499,250-499,False
883,883,500-999,500-999,False
440,440,250-499,250-499,False
358,358,250-499,250-499,False
137,137,100-249,100-249,False
171,171,100-249,100-249,False
557,557,500-999,500-999,False
216,216,100-249,100-249,False
527,527,500-999,500-999,False
710,709,500-999,500-999,False
479,479,250-499,250-499,False
887,887,500-999,500-999,False
92,92,<100,<100,False
407,407,250-499,250-499,False
282,282,250-499,250-499,False
333,333,250-499,250-499,False
229,229,100-249,100-249,False
71,71,<100,<100,False
353,353,250-499,250-499,False
1035,1035,>=1000,>=1000,False
1209,1209,>=1000,>=1000,False
69,69,<100,<100,False
112,112,100-249,100-249,False
310,310,250-499,250-499,False
316,316,250-499,250-499,False
741,741,500-999,500-999,False
1172,1172,>=1000,>=1000,False
200,200,100-249,100-249,False
981,981,500-999,500-999,False
372,372,250-499,250-499,False
329,329,250-499,250-499,False
48,48,<100,<100,False
366,366,250-499,250-499,False
184,184,100-249,100-249,False
320,320,250-499,250-499,False
36,36,<100,<100,False
598,598,500-999,500-999,False
357,357,250-499,250-499,False
251,251,250-499,250-499,False
192,192,100-249,100-249,False
620,619,500-999,500-999,False
726,726,500-999,500-999,False
1058,1058,>=1000,>=1000,False
288,288,250-499,250-499,False
264,264,250-499,250-499,False
256,256,250-499,250-499,False
1070,1070,>=1000,>=1000,False
1427,1427,>=1000,>=1000,False
61,61,<100,<100,False
126,126,100-249,100-249,False
230,230,100-249,100-249,False
371,371,250-499,250-499,False
377,377,250-499,250-499,False
2093,2093,>=1000,>=1000,False
839,839,500-999,500-999,False
854,854,500-999,500-999,False
297,297,250-499,250-499,False
46,46,<100,<100,False
533,533,500-999,500-999,False
42,42,<100,<100,False
693,693,500-999,500-999,False
1119,1119,>=1000,>=1000,False
574,574,500-999,500-999,False
1163,1163,>=1000,>=1000,False
238,238,100-249,100-249,False
288,288,250-499,250-499,False
554,554,500-999,500-999,False
1344,1344,>=1000,>=1000,False
1226,1226,>=1000,>=1000,False
521,521,500-999,500-999,False
305,305,250-499,250-499,False
1682,1682,>=1000,>=1000,False
73,73,<100,<100,False
488,488,250-499,250-499,False
171,171,100-249,100-249,False
484,484,250-499,250-499,False
169,169,100-249,100-249,False
1498,1498,>=1000,>=1000,False
793,793,500-999,500-999,False
753,753,500-999,500-999,False
624,623,500-999,500-999,False
174,174,100-249,100-249,False
987,987,500-999,500-999,False
56,56,<100,<100,False
64,64,<100,<100,False
2016,2016,>=1000,>=1000,False
649,649,500-999,500-999,False
54,54,<100,<100,False
86,86,<100,<100,False
172,172,100-249,100-249,False
1152,1152,>=1000,>=1000,False
950,950,500-999,500-999,False
725,725,500-999,500-999,False
706,706,500-999,500-999,False
335,335,250-499,250-499,False
133,133,100-249,100-249,False
140,140,100-249,100-249,False
212,212,100-249,100-249,False
666,666,500-999,500-999,False
413,413,250-499,250-499,False
372,372,250-499,250-499,False
261,261,250-499,250-499,False
455,455,250-499,250-499,False
47,47,<100,<100,False
574,574,500-999,500-999,False
276,276,250-499,250-499,False
561,561,500-999,500-999,False
567,567,500-999,500-999,False
535,535,500-999,500-999,False
560,560,500-999,500-999,False
356,356,250-499,250-499,False
90,90,<100,<100,False
340,340,250-499,250-499,False
420,420,250-499,250-499,False
682,682,500-999,500-999,False
729,729,500-999,500-999,False
269,269,250-499,250-499,False
874,874,500-999,500-999,False
640,640,500-999,500-999,False
268,268,250-499,250-499,False
72,72,<100,<100,False
1171,1171,>=1000,>=1000,False
980,980,500-999,500-999,False
1258,1258,>=1000,>=1000,False
582,582,500-999,500-999,False
286,286,250-499,250-499,False
1049,1049,>=1000,>=1000,False
45,45,<100,<100,False
675,675,500-999,500-999,False
775,775,500-999,500-999,False
691,691,500-999,500-999,False
1346,1346,>=1000,>=1000,False
385,385,250-499,250-499,False
278,278,250-499,250-499,False
522,522,500-999,500-999,False
624,624,500-999,500-999,False
295,295,250-499,250-499,False
673,673,500-999,500-999,False
633,633,500-999,500-999,False
466,466,250-499,250-499,False
1154,1154,>=1000,>=1000,False
789,789,500-999,500-999,False
435,435,250-499,250-499,False
1011,1011,>=1000,>=1000,False
544,544,500-999,500-999,False
360,360,250-499,250-499,False
463,463,250-499,250-499,False
67,67,<100,<100,False
699,699,500-999,500-999,False
758,758,500-999,500-999,False
1164,1164,>=1000,>=1000,False
91,91,<100,<100,False
94,94,<100,<100,False
682,682,500-999,500-999,False
338,338,250-499,250-499,False
708,708,500-999,500-999,False
305,305,250-499,250-499,False
186,186,100-249,100-249,False
67,67,<100,<100,False
336,336,250-499,250-499,False
73,73,<100,<100,False
542,542,500-999,500-999,False
720,720,500-999,500-999,False
223,223,100-249,100-249,False
341,341,250-499,250-499,False
1136,1136,>=1000,>=1000,False
200,200,100-249,100-249,False
208,208,100-249,100-249,False
56,56,<100,<100,False
287,287,250-499,250-499,False
56,56,<100,<100,False
228,228,100-249,100-249,False
105,105,100-249,100-249,False
223,223,100-249,100-249,False
563,563,500-999,500-999,False
194,194,100-249,100-249,False
501,501,500-999,500-999,False
603,603,500-999,500-999,False
46,46,<100,<100,False
163,163,100-249,100-249,False
205,205,100-249,100-249,False
700,700,500-999,500-999,False
718,718,500-999,500-999,False
1503,1503,>=1000,>=1000,False
83,83,<100,<100,False
880,880,500-999,500-999,False
253,253,250-499,250-499,False
626,626,500-999,500-999,False
443,443,250-499,250-499,False
972,972,500-999,500-999,False
536,536,500-999,500-999,False
414,414,250-499,250-499,False
394,394,250-499,250-499,False
737,737,500-999,500-999,False
327,327,250-499,250-499,False
86,86,<100,<100,False
390,390,250-499,250-499,False
406,406,250-499,250-499,False
173,173,100-249,100-249,False
332,332,250-499,250-499,False
233,233,100-249,100-249,False
644,644,500-999,500-999,False
1022,1022,>=1000,>=1000,False
1159,1159,>=1000,>=1000,False
1168,1168,>=1000,>=1000,False
366,366,250-499,250-499,False
741,741,500-999,500-999,False
588,588,500-999,500-999,False
384,384,250-499,250-499,False
45,45,<100,<100,False
581,581,500-999,500-999,False
231,231,100-249,100-249,False
1272,1272,>=1000,>=1000,False
277,277,250-499,250-499,False
610,610,500-999,500-999,False
446,446,250-499,250-499,False
1312,1312,>=1000,>=1000,False
571,571,500-999,500-999,False
459,459,250-499,250-499,False
546,546,500-999,500-999,False
278,278,250-499,250-499,False
30,30,<100,<100,False
315,315,250-499,250-499,False
1470,1470,>=1000,>=1000,False
550,550,500-999,500-999,False
273,273,250-499,250-499,False
465,465,250-499,250-499,False
1315,1315,>=1000,>=1000,False
444,444,250-499,250-499,False
163,163,100-249,100-249,False
577,577,500-999,500-999,False
445,445,250-499,250-499,False
662,662,500-999,500-999,False
186,186,100-249,100-249,False
404,404,250-499,250-499,False
687,687,500-999,500-999,False
302,302,250-499,250-499,False
667,667,500-999,500-999,False
305,305,250-499,250-499,False
1083,1083,>=1000,>=1000,False
295,295,250-499,250-499,False
196,196,100-249,100-249,False
731,731,500-999,500-999,False
545,545,500-999,500-999,False
169,169,100-249,100-249,False
423,423,250-499,250-499,False
947,947,500-999,500-999,False
418,418,250-499,250-499,False
147,147,100-249,100-249,False
54,54,<100,<100,False
1096,1096,>=1000,>=1000,False
148,148,100-249,100-249,False
942,942,500-999,500-999,False
33,33,<100,<100,False
351,351,250-499,250-499,False
554,554,500-999,500-999,False
247,247,100-249,100-249,False
702,702,500-999,500-999,False
89,89,<100,<100,False
466,466,250-499,250-499,False
200,200,100-249,100-249,False
1494,1494,>=1000,>=1000,False
423,423,250-499,250-499,False
362,362,250-499,250-499,False
154,154,100-249,100-249,False
392,392,250-499,250-499,False
595,595,500-999,500-999,False
276,276,250-499,250-499,False
568,568,500-999,500-999,False
634,634,500-999,500-999,False
952,952,500-999,500-999,False
51,51,<100,<100,False
243,243,100-249,100-249,False
592,592,500-999,500-999,False
535,535,500-999,500-999,False
2182,2182,>=1000,>=1000,False
1138,1138,>=1000,>=1000,False
508,508,500-999,500-999,False
380,380,250-499,250-499,False
650,650,500-999,500-999,False
801,801,500-999,500-999,False
227,227,100-249,100-249,False
602,602,500-999,500-999,False
263,263,250-499,250-499,False
406,406,250-499,250-499,False
48,48,<100,<100,False
443,443,250-499,250-499,False
548,548,500-999,500-999,False
818,818,500-999,500-999,False
227,227,100-249,100-249,False
554,553,500-999,500-999,False
1112,1112,>=1000,>=1000,False
530,530,500-999,500-999,False
640,640,500-999,500-999,False
614,614,500-999,500-999,False
78,78,<100,<100,False
1137,1137,>=1000,>=1000,False
1154,1154,>=1000,>=1000,False
274,274,250-499,250-499,False
140,140,100-249,100-249,False
613,613,500-999,500-999,False
274,274,250-499,250-499,False
76,76,<100,<100,False
454,454,250-499,250-499,False
480,480,250-499,250-499,False
414,414,250-499,250-499,False
456,456,250-499,250-499,False
846,846,500-999,500-999,False
131,131,100-249,100-249,False
1900,1900,>=1000,>=1000,False
1162,1162,>=1000,>=1000,False
47,47,<100,<100,False
337,337,250-499,250-499,False
714,714,500-999,500-999,False
625,625,500-999,500-999,False
136,136,100-249,100-249,False
298,298,250-499,250-499,False
967,967,500-999,500-999,False
220,220,100-249,100-249,False
1074,1074,>=1000,>=1000,False
350,350,250-499,250-499,False
486,486,250-499,250-499,False
573,573,500-999,500-999,False
932,932,500-999,500-999,False
330,330,250-499,250-499,False
190,190,100-249,100-249,False
1137,1137,>=1000,>=1000,False
176,176,100-249,100-249,False
1000,1000,>=1000,>=1000,False
1175,1175,>=1000,>=1000,False
1246,1246,>=1000,>=1000,False
674,674,500-999,500-999,False
231,231,100-249,100-249,False
76,76,<100,<100,False
218,218,100-249,100-249,False
574,574,500-999,500-999,False
308,308,250-499,250-499,False
438,437,250-499,250-499,False
720,720,500-999,500-999,False
332,332,250-499,250-499,False
66,66,<100,<100,False
713,713,500-999,500-999,False
244,244,100-249,100-249,False
592,592,500-999,500-999,False
491,491,250-499,250-499,False
330,330,250-499,250-499,False
166,166,100-249,100-249,False
476,476,250-499,250-499,False
233,233,100-249,100-249,False
317,317,250-499,250-499,False
734,734,500-999,500-999,False
735,735,500-999,500-999,False
727,727,500-999,500-999,False
845,845,500-999,500-999,False
464,464,250-499,250-499,False
477,477,250-499,250-499,False
819,819,500-999,500-999,False
633,633,500-999,500-999,False
533,533,500-999,500-999,False
45,45,<100,<100,False
672,672,500-999,500-999,False
939,939,500-999,500-999,False
836,836,500-999,500-999,False
866,866,500-999,500-999,False
318,318,250-499,250-499,False
349,349,250-499,250-499,False
464,464,250-499,250-499,False
9,9,<100,<100,False
649,649,500-999,500-999,False
353,353,250-499,250-499,False
837,837,500-999,500-999,False
292,292,250-499,250-499,False
493,493,250-499,250-499,False
1740,1740,>=1000,>=1000,False
448,448,250-499,250-499,False
318,318,250-499,250-499,False
483,483,250-499,250-499,False
61,61,<100,<100,False
660,660,500-999,500-999,False
318,318,250-499,250-499,False
634,634,500-999,500-999,False
714,714,500-999,500-999,False
325,325,250-499,250-499,False
666,666,500-999,500-999,False
534,534,500-999,500-999,False
1110,1110,>=1000,>=1000,False
49,49,<100,<100,False
712,712,500-999,500-999,False
1231,1231,>=1000,>=1000,False
45,45,<100,<100,False
746,746,500-999,500-999,False
616,616,500-999,500-999,False
384,384,250-499,250-499,False
229,229,100-249,100-249,False
68,68,<100,<100,False
417,417,250-499,250-499,False
79,79,<100,<100,False
957,957,500-999,500-999,False
229,229,100-249,100-249,False
966,966,500-999,500-999,False
610,610,500-999,500-999,False
878,878,500-999,500-999,False
251,251,250-499,250-499,False
396,396,250-499,250-499,False
391,391,250-499,250-499,False
518,518,500-999,500-999,False
636,636,500-999,500-999,False
803,803,500-999,500-999,False
567,567,500-999,500-999,False
322,322,250-499,250-499,False
440,440,250-499,250-499,False
358,358,250-499,250-499,False
490,490,250-499,250-499,False
530,530,500-999,500-999,False
136,136,100-249,100-249,False
296,296,250-499,250-499,False
137,137,100-249,100-249,False
276,276,250-499,250-499,False
213,213,100-249,100-249,False
274,274,250-499,250-499,False
749,749,500-999,500-999,False
240,240,100-249,100-249,False
285,285,250-499,250-499,False
740,740,500-999,500-999,False
416,416,250-499,250-499,False
128,128,100-249,100-249,False
255,255,250-499,250-499,False
62,62,<100,<100,False
218,218,100-249,100-249,False
580,580,500-999,500-999,False
200,200,100-249,100-249,False
763,763,500-999,500-999,False
1792,1792,>=1000,>=1000,False
619,619,500-999,500-999,False
119,119,100-249,100-249,False
263,263,250-499,250-499,False
963,963,500-999,500-999,False
53,53,<100,<100,False
655,655,500-999,500-999,False
29,29,<100,<100,False
122,121,100-249,100-249,False
125,125,100-249,100-249,False
42,42,<100,<100,False
789,789,500-999,500-999,False
1676,1675,>=1000,>=1000,False
1203,1203,>=1000,>=1000,False
149,149,100-249,100-249,False
1043,1043,>=1000,>=1000,False
390,390,250-499,250-499,False
796,796,500-999,500-999,False
183,183,100-249,100-249,False
362,362,250-499,250-499,False
480,480,250-499,250-499,False
651,651,500-999,500-999,False
884,884,500-999,500-999,False
629,629,500-999,500-999,False
31,31,<100,<100,False
1243,1243,>=1000,>=1000,False
187,187,100-249,100-249,False
1070,1070,>=1000,>=1000,False
1040,1040,>=1000,>=1000,False
1141,1141,>=1000,>=1000,False
1134,1134,>=1000,>=1000,False
60,60,<100,<100,False
474,474,250-499,250-499,False
384,384,250-499,250-499,False
1309,1309,>=1000,>=1000,False
155,155,100-249,100-249,False
781,781,500-999,500-999,False
66,66,<100,<100,False
73,73,<100,<100,False
478,478,250-499,250-499,False
613,613,500-999,500-999,False
706,706,500-999,500-999,False
362,362,250-499,250-499,False
79,79,<100,<100,False
1087,1087,>=1000,>=1000,False
458,458,250-499,250-499,False
66,66,<100,<100,False
272,272,250-499,250-499,False
356,356,250-499,250-499,False
681,681,500-999,500-999,False
209,209,100-249,100-249,False
343,343,250-499,250-499,False
785,785,500-999,500-999,False
583,583,500-999,500-999,False
80,80,<100,<100,False
282,282,250-499,250-499,False
312,312,250-499,250-499,False
43,43,<100,<100,False
618,618,500-999,500-999,False
636,636,500-999,500-999,False
445,445,250-499,250-499,False
1196,1196,>=1000,>=1000,False
